# bench/results.csv — C / raw / fat 三态性能结果 (scripts/bench_three_way.py 生成)
# 列: bench, <state>_min_ms/<state>_med_ms/<state>_cv_pct 各态最小值(正式指标)/中位数/变异系数, state ∈ {c,raw,fat}; ratio_raw_c = raw_min/c_min, ratio_fat_c = fat_min/c_min, ratio_fat_raw = fat_min/raw_min; <state>_rss_mb 峰值常驻; runs, stdout_match (raw/fat), c_check (C 权威值), c_argv, raw_source
# fingerprint: hostname=zhx machine=x86_64 cpu_count=28 clang=Ubuntu clang version 22.1.8 (++20260613092327+e80beda6e255-1~exp1~20260613092437.81) cflags=-O2 -lm
# env: python=3.12.3 llvmlite=0.49.0 llvm=22.1.0 opt=-O2 pin=4 runs=5
# commit: 6fd480b
# date: 2026-09-19
bench,c_min_ms,c_med_ms,c_cv_pct,raw_min_ms,raw_med_ms,raw_cv_pct,fat_min_ms,fat_med_ms,fat_cv_pct,ratio_raw_c,ratio_fat_c,ratio_fat_raw,c_rss_mb,raw_rss_mb,fat_rss_mb,runs,stdout_match,c_check,c_argv,raw_source
binarytree,3372.0,3379.6,0.41,3302.2,3314.0,0.22,2928.2,2945.5,0.61,0.979,0.868,0.887,129.7,129.1,321.6,5,yes,pass,,binarytree.an
bounce,2502.7,2521.6,0.74,2706.5,2721.5,1.60,2838.4,2890.8,1.57,1.081,1.134,1.049,2.8,2.4,2.6,5,yes,pass,,bounce.an
cd,927.0,933.6,0.53,1824.1,1840.9,0.52,2170.8,2178.5,0.51,1.968,2.342,1.190,2.4,2.0,2.6,5,yes,pass,100 80,cd.an
deltablue,535.6,536.9,0.22,629.3,635.2,0.80,1626.7,1629.3,0.16,1.175,3.037,2.585,5.7,1.1,1.3,5,yes,pass,,deltablue.an
fann,1596.4,1604.8,0.29,1417.9,1422.0,0.18,1395.3,1401.0,0.38,0.888,0.874,0.984,1.8,1.1,1.1,5,yes,pass,,fann.an
fasta,1784.0,1785.1,0.08,1686.7,1691.3,0.20,2022.3,2026.1,0.27,0.945,1.134,1.199,1.8,1.1,1.1,5,yes,pass,,fasta.an
havlak,42.8,43.4,2.05,67.9,68.7,0.77,161.4,162.0,0.47,1.586,3.768,2.375,4.2,4.2,9.6,5,yes,pass,,havlak.an
json,265.4,268.9,0.85,669.6,670.3,0.48,1701.9,1707.5,0.42,2.523,6.412,2.542,2.4,1.5,2.2,5,yes,pass,,json.an
list,6568.5,6588.9,0.85,6753.1,6808.3,2.44,30329.8,30642.1,0.56,1.028,4.617,4.491,1.8,1.1,1.1,5,yes,pass,,list.an
mand,2432.6,2437.8,2.41,2442.0,2453.4,2.61,2431.5,2470.7,3.12,1.004,1.000,0.996,1.8,1.1,1.1,5,yes,pass,,mand.an
nbody,330.9,333.2,4.89,369.0,369.8,2.09,379.2,385.1,1.98,1.115,1.146,1.028,1.8,1.1,1.1,5,yes,pass,,nbody.an
permute,936.8,944.6,1.90,1477.7,1511.0,1.77,2427.9,2429.3,0.47,1.577,2.592,1.643,1.8,1.1,1.1,5,yes,pass,,permute.an
queen,958.2,982.0,2.94,1434.1,1450.8,3.27,6873.1,6899.3,2.08,1.497,7.173,4.793,2.4,2.4,2.8,5,yes,pass,,queen.an
revcomp,650.4,660.1,1.43,619.6,634.6,2.41,715.5,727.6,2.06,0.953,1.100,1.155,1.8,1.1,1.1,5,yes,pass,,revcomp.an
richards,460.3,463.7,3.85,673.4,675.7,1.56,1844.1,1880.1,2.31,1.463,4.007,2.738,3.5,3.3,5.0,5,yes,pass,2400,richards.an
sieve,2019.2,2046.2,4.22,2108.9,2170.9,3.68,2800.7,2832.5,3.88,1.044,1.387,1.328,3.5,2.8,3.1,5,yes,pass,,sieve.an
spectralnorm,1899.7,1906.8,0.46,1898.2,1902.8,4.01,1896.6,1906.7,3.43,0.999,0.998,0.999,2.0,1.3,1.3,5,yes,pass,,spectralnorm.an
storage,1742.9,1754.5,2.70,1121.4,1138.3,4.54,1749.8,1871.2,4.74,0.643,1.004,1.560,1862.9,2519.1,4394.5,5,yes,pass,,storage.raw.an
towers,1499.1,1521.7,3.86,2034.6,2044.1,0.62,4427.6,4449.8,1.28,1.357,2.953,2.176,1.3,1.1,1.1,5,yes,pass,,towers.an
