# bench/results/full.csv — C / raw / fat 三态性能结果 (bench/bench_three_way.py 生成)
# 列: bench 形如 <SOURCE>/<name>; <state>_min_ms/<state>_med_ms/<state>_cv_pct 各态最小值(正式指标)/中位数/变异系数, state ∈ {c,raw,fat}; ratio_raw_c = raw_min/c_min, ratio_fat_c = fat_min/c_min, ratio_fat_raw = fat_min/raw_min; <state>_rss_mb 峰值常驻; runs, stdout_match (raw/fat), c_check (C 权威值), c_argv, raw_source
# fingerprint: hostname=zhx machine=x86_64 cpu_count=28 clang=Ubuntu clang version 22.1.8 (++20260613092327+e80beda6e255-1~exp1~20260613092437.81) cflags=-O2 -ffp-contract=off -lm
# env: python=3.12.3 llvmlite=0.49.0 llvm=22.1.0 opt=-O2 pin=none runs=5
# set: full  scale: full
# commit: ea4bb67
# date: 2026-09-23
bench,c_min_ms,c_med_ms,c_cv_pct,raw_min_ms,raw_med_ms,raw_cv_pct,fat_min_ms,fat_med_ms,fat_cv_pct,ratio_raw_c,ratio_fat_c,ratio_fat_raw,c_rss_mb,raw_rss_mb,fat_rss_mb,runs,stdout_match,c_check,c_argv,raw_source
AWFY/bounce,1635.1,1641.5,0.61,1662.2,1668.0,0.31,1549.8,1561.9,0.75,1.017,0.948,0.932,1.3,1.5,1.5,5,yes,pass,,bounce.an
AWFY/cd,1519.9,1521.8,0.45,1148.6,1160.6,0.85,1822.9,1831.7,0.52,0.756,1.199,1.587,2.4,2.0,1.8,5,yes,pass,,cd.an
AWFY/deltablue,981.8,988.0,0.86,949.2,959.6,2.11,1499.9,1520.5,1.66,0.967,1.528,1.580,7.2,7.0,11.2,5,yes,pass,,deltablue.an
AWFY/havlak,1103.7,1105.3,0.27,1020.2,1036.1,0.83,1793.4,1802.0,0.50,0.924,1.625,1.758,4.6,5.3,8.8,5,yes,pass,,havlak.an
AWFY/json,1148.3,1159.4,0.76,1311.3,1324.2,0.71,1617.7,1641.9,0.77,1.142,1.409,1.234,2.0,2.0,2.2,5,yes,pass,,json.an
AWFY/list,855.7,862.7,1.01,795.2,803.1,0.89,1819.2,1831.5,0.73,0.929,2.126,2.288,1.3,1.3,1.3,5,yes,pass,,list.an
AWFY/mand,1761.8,1769.3,0.46,1771.6,1779.6,0.34,1770.7,1776.6,0.26,1.006,1.005,0.999,1.3,1.3,1.3,5,yes,pass,,mand.an
AWFY/nbody,1442.0,1448.3,0.38,1618.0,1630.0,0.45,1629.2,1633.2,0.29,1.122,1.130,1.007,1.3,1.5,1.5,5,yes,pass,,nbody.an
AWFY/permute,759.6,763.5,0.77,812.1,816.4,0.35,1786.1,1788.9,0.49,1.069,2.351,2.199,1.3,1.3,1.3,5,yes,pass,,permute.an
AWFY/queen,1561.2,1579.0,2.10,362.7,364.4,0.39,879.4,884.0,1.63,0.232,0.563,2.425,1.3,1.3,1.3,5,yes,pass,,queen.an
AWFY/richards,749.6,756.9,0.68,819.1,825.7,0.67,1825.7,1832.4,0.27,1.093,2.436,2.229,1.5,1.5,1.5,5,yes,pass,,richards.an
AWFY/sieve,1029.0,1034.2,0.71,1664.6,1683.4,0.60,1631.6,1638.2,0.59,1.618,1.586,0.980,1.5,1.3,1.3,5,yes,pass,,sieve.an
AWFY/storage,1697.9,1712.4,0.78,1725.8,1749.0,0.68,1435.5,1454.1,0.80,1.016,0.845,0.832,1.8,2.2,2.4,5,yes,pass,,storage.an
AWFY/towers,682.8,683.9,1.74,561.7,563.4,3.15,1807.4,1808.6,0.26,0.823,2.647,3.218,1.3,1.3,1.3,5,yes,pass,,towers.an
BG/binarytree,3592.9,3636.6,0.65,3547.6,3572.6,0.50,2631.1,2667.7,1.82,0.987,0.732,0.742,129.7,129.3,225.5,5,yes,pass,,binarytree.an
BG/fann,1718.5,1731.9,0.65,1449.3,1457.6,0.58,1454.8,1459.1,0.58,0.843,0.847,1.004,1.8,1.3,1.3,5,yes,pass,,fann.an
BG/fasta,1924.2,1927.6,0.39,1834.5,1839.1,0.15,2197.8,2213.3,0.38,0.953,1.142,1.198,1.8,1.3,1.3,5,yes,pass,,fasta.an
BG/revcomp,710.4,722.0,0.79,574.4,579.1,0.57,830.5,833.8,0.75,0.809,1.169,1.446,1.8,1.5,1.5,5,yes,pass,,revcomp.an
BG/spectralnorm,2059.3,2072.3,0.30,2068.0,2072.9,0.19,2053.5,2065.7,0.51,1.004,0.997,0.993,2.0,1.8,1.8,5,yes,pass,,spectralnorm.an
fatptr/call_abi,3.1,3.2,2.29,1.5,1.6,2.82,5.3,5.3,0.89,0.501,1.724,3.437,1.5,1.5,1.5,5,yes,pass,,call_abi.an
fatptr/chase,151.0,154.4,2.66,149.3,154.7,4.18,184.7,196.3,6.22,0.988,1.223,1.237,123.6,123.4,215.2,5,yes,pass,,chase.an
fatptr/copy_struct,77.3,77.9,0.60,79.7,80.0,0.40,170.6,174.2,1.54,1.031,2.206,2.140,6.6,6.6,11.2,5,yes,pass,,copy_struct.an
